2018-07-13 15:59:04,755 : INFO	: Script p24_extractor.py started
2018-07-13 15:59:04,756 : INFO	: Retrieving data from http://p24.by
2018-07-13 15:59:04,757 : DEBUG	: Starting new HTTP connection (1): p24.by:80
2018-07-13 15:59:05,193 : DEBUG	: http://p24.by:80 "GET /goods/filter/?category_vid=2&category_cats=11&category_podcat=79&CatalogProducts_page=1 HTTP/1.1" 200 None
2018-07-13 15:59:05,318 : INFO	: 40 objects recieved
2018-07-13 15:59:05,319 : DEBUG	: Starting new HTTP connection (1): p24.by:80
2018-07-13 15:59:05,733 : DEBUG	: http://p24.by:80 "GET /goods/filter/?category_vid=2&category_cats=11&category_podcat=79&CatalogProducts_page=2 HTTP/1.1" 200 None
2018-07-13 15:59:05,861 : INFO	: 40 objects recieved
2018-07-13 15:59:05,862 : DEBUG	: Starting new HTTP connection (1): p24.by:80
2018-07-13 15:59:06,227 : DEBUG	: http://p24.by:80 "GET /goods/filter/?category_vid=2&category_cats=11&category_podcat=79&CatalogProducts_page=3 HTTP/1.1" 200 None
2018-07-13 15:59:06,327 : INFO	: 27 objects recieved
2018-07-13 15:59:06,327 : INFO	: Last page just parsed
2018-07-13 15:59:06,328 : INFO	: 107 lines has been written
2018-07-13 15:59:06,328 : INFO	: Script p24_extractor.py finished successfully in 0:00:01.572763
